epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16208.9,0.66601,0.47225,1.03627,0.95133,0.96289,0.96723,0.81787,0.61131,0.45121,1.0071,0.000990365,0.000990365,0.000990365
43,16590.2,0.6774,0.50408,1.04491,0.96292,0.94636,0.96515,0.81089,0.60343,0.48796,0.99956,0.000973861,0.000973861,0.000973861
44,16971.5,0.65267,0.46516,1.01941,0.96792,0.92957,0.9673,0.80764,0.62287,0.46507,1.01831,0.000957358,0.000957358,0.000957358
45,17352,0.65488,0.4642,1.01961,0.93692,0.93494,0.96847,0.80194,0.64126,0.48249,1.0306,0.000940855,0.000940855,0.000940855
46,17732.8,0.65407,0.46675,1.01637,0.96621,0.94395,0.96523,0.802,0.63027,0.44955,1.03328,0.000924352,0.000924352,0.000924352
47,18146,0.6396,0.45666,1.01904,0.94364,0.95073,0.96724,0.81287,0.62937,0.44992,1.0269,0.000907848,0.000907848,0.000907848
48,18537.6,0.65207,0.46987,1.02548,0.96449,0.93866,0.96927,0.82075,0.60793,0.42369,1.00915,0.000891345,0.000891345,0.000891345
49,18923.6,0.64999,0.44041,1.02548,0.96716,0.94464,0.96606,0.81124,0.64631,0.4403,1.03524,0.000874842,0.000874842,0.000874842
50,19310.2,0.6341,0.42378,1.01017,0.97623,0.94005,0.96768,0.82626,0.59575,0.41338,1.00699,0.000858338,0.000858338,0.000858338
51,19698.2,0.64068,0.43098,1.02294,0.97563,0.92688,0.96261,0.82241,0.58752,0.42483,0.99729,0.000841835,0.000841835,0.000841835
52,20087.2,0.63306,0.45145,1.01018,0.95965,0.92906,0.95811,0.81832,0.61403,0.48302,1.01847,0.000825332,0.000825332,0.000825332
53,20473.6,0.62528,0.44412,1.01215,0.93551,0.96016,0.97187,0.81513,0.58244,0.41557,1.00261,0.000808828,0.000808828,0.000808828
54,20857.8,0.6496,0.45385,1.03126,0.93664,0.93403,0.96396,0.81052,0.60292,0.45205,1.00295,0.000792325,0.000792325,0.000792325
55,21244,0.62202,0.43226,1.01001,0.96869,0.92261,0.96255,0.8111,0.59608,0.45255,1.00206,0.000775822,0.000775822,0.000775822
56,21630.5,0.62569,0.42536,1.00858,0.93756,0.95376,0.96716,0.82178,0.58522,0.43111,0.9956,0.000759318,0.000759318,0.000759318
57,22020,0.6171,0.42559,1.02246,0.94613,0.92778,0.95611,0.81311,0.58938,0.43277,0.99304,0.000742815,0.000742815,0.000742815
58,22411.8,0.63304,0.42689,1.01539,0.96285,0.94935,0.96495,0.81456,0.61176,0.4355,1.01041,0.000726312,0.000726312,0.000726312
59,22795.3,0.63875,0.43073,1.02067,0.94913,0.95448,0.96996,0.81466,0.60824,0.4285,1.01858,0.000709809,0.000709809,0.000709809
60,23177.7,0.61797,0.41846,1.00693,0.95825,0.95914,0.97133,0.82222,0.58751,0.41158,1.00665,0.000693305,0.000693305,0.000693305
61,23591,0.61029,0.41918,1.01344,0.96207,0.96478,0.9755,0.83568,0.57783,0.3917,0.99358,0.000676802,0.000676802,0.000676802
62,23980.1,0.59411,0.41418,0.99485,0.9295,0.96115,0.97101,0.82906,0.59084,0.39874,0.99971,0.000660299,0.000660299,0.000660299
63,24364.3,0.61382,0.41547,0.99316,0.96574,0.94032,0.95863,0.82154,0.6087,0.44902,1.0307,0.000643795,0.000643795,0.000643795
64,24747.8,0.60566,0.40579,0.99969,0.96014,0.94497,0.9643,0.82731,0.57244,0.40506,0.99734,0.000627292,0.000627292,0.000627292
65,25131.4,0.58767,0.39974,0.99767,0.94879,0.9508,0.96709,0.82964,0.59622,0.41662,1.00894,0.000610789,0.000610789,0.000610789
66,25504.7,0.59965,0.40072,0.99524,0.96475,0.93712,0.9677,0.82664,0.58075,0.42715,0.99165,0.000594286,0.000594286,0.000594286
67,25895.3,0.59502,0.40283,0.99164,0.95956,0.95341,0.9689,0.83223,0.56598,0.39394,0.99179,0.000577782,0.000577782,0.000577782
68,26283,0.55868,0.38222,0.97899,0.95735,0.9463,0.9734,0.84185,0.56327,0.39064,0.9934,0.000561279,0.000561279,0.000561279
69,26663.9,0.58155,0.38933,0.99388,0.96972,0.95403,0.96807,0.84094,0.56764,0.39748,0.983,0.000544776,0.000544776,0.000544776
70,27046.1,0.57826,0.40203,0.99125,0.96356,0.95672,0.96539,0.83001,0.57376,0.41399,0.99527,0.000528272,0.000528272,0.000528272
71,27428.8,0.5801,0.39162,0.99355,0.95491,0.96495,0.97308,0.84886,0.54787,0.36871,0.97829,0.000511769,0.000511769,0.000511769
72,27806.1,0.58554,0.3836,0.98918,0.96136,0.95403,0.97237,0.84677,0.54887,0.3819,0.97848,0.000495266,0.000495266,0.000495266
73,28189.4,0.56697,0.38916,0.98619,0.96151,0.96478,0.97216,0.84598,0.54369,0.36823,0.9756,0.000478762,0.000478762,0.000478762
74,28568.3,0.56667,0.37935,0.98444,0.97886,0.95146,0.97621,0.84709,0.55223,0.36185,0.99152,0.000462259,0.000462259,0.000462259
